gap_id,gap_type,strategy,from_street,to_street,route_found,fallback_route,total_length_m,straight_line_m,detour_ratio,worst_lts,lts_problem_length_m,lts_problem_pct,upgrade_complexity,dominant_facility,estimated_cost_cad,route_quality,notes
GAP-052,connector,lts,Homer Watson Boulevard,Jay Court,True,False,2694.8,499.0,5.4,4,2169.8,80.5,complex,painted_cycle_lane,7884566,poor,Route detour ratio 5.4x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-091,dangling,lts,Connaught Street,Connaught Street,True,False,1044.1,327.4,3.19,3,327.7,31.4,complex,painted_cycle_lane,1146354,poor,Route detour ratio 3.2x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-124,dangling,lts,Residence Road,Columbia Street West,True,False,269.2,229.2,1.17,3,269.2,100.0,complex,protected_cycle_track,672998,fair,
GAP-141,dangling,lts,Fischer-Hallman Road,Highbrook Court,False,False,0.0,90.0,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-090,dangling,lts,Edgewater Crescent,Fairway Road North,True,False,3283.2,331.1,9.92,4,3283.2,100.0,complex,painted_cycle_lane,8504124,poor,Route detour ratio 9.9x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-101,dangling,lts,Activa Avenue,Activa Avenue,False,False,0.0,302.2,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-149,dangling,lts,Fischer-Hallman Road,Fischer-Hallman Road,True,False,78.0,48.3,1.61,4,78.0,100.0,complex,protected_cycle_track,389694,poor,
GAP-109,dangling,lts,Martinglen Crescent,Century Hill Drive,False,False,0.0,269.5,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-097,dangling,lts,Strasburg Road,Unnamed service,True,False,1531.1,313.9,4.88,4,1016.7,66.4,complex,protected_cycle_track,6957756,poor,Route detour ratio 4.9x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-110,dangling,lts,Courtland Avenue East,Borden Avenue South,True,False,269.4,269.1,1.0,3,269.4,100.0,complex,painted_cycle_lane,80820,fair,
GAP-069,connector,lts,Unnamed service,Greenfield Avenue,False,False,0.0,402.1,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-033,corridor,lts,Victoria Street South,Victoria Street South,True,False,375.9,374.3,1.0,4,375.9,100.0,complex,grade_separated_path,3006936,poor,
GAP-055,connector,lts,Highland Road East,Stirling Avenue South,False,False,0.0,463.3,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-114,connector,lts,Shelley Drive,Shelly Drive,False,False,0.0,256.8,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-102,dangling,lts,Knightsbridge Court,Keats Way,True,False,308.8,298.3,1.04,3,308.8,100.0,complex,protected_cycle_track,771937,fair,
GAP-125,dangling,lts,Plains Road,Fischer-Hallman Road,False,False,0.0,224.9,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-081,dangling,lts,Corfield Place,Lackner Boulevard,False,False,0.0,353.8,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-122,dangling,lts,Oakdale Court,Doon Mills Drive,False,False,0.0,233.5,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-093,dangling,lts,Doon Village Road,Homer Watson Boulevard,False,False,0.0,325.0,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-150,dangling,lts,Blair Creek Drive,Blair Creek Drive,True,False,30.3,35.2,0.86,3,30.3,100.0,complex,protected_cycle_track,75829,fair,
GAP-065,connector,lts,Unnamed service,Unnamed service,False,False,0.0,430.5,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-115,dangling,lts,The Grand Manors of Sims Estate,Walter Bean Grand River Trail,False,False,0.0,255.5,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
